lambda,keygen time/s,encryption time/s,decryption time/s,total time/s,ciphertext length in bits
46,0.0011956357955932616,0.0022757291793823243,0.0,0.0034713649749755857,16122.26
47,0.0013608074188232423,0.0020337820053100584,0.0,0.0033945894241333005,16380.41
48,0.001117231845855713,0.002269570827484131,0.0,0.003386802673339844,16637.88
49,0.003966743946075439,0.004311583042144775,2.228260040283203e-05,0.008300609588623047,16894.47
50,0.0017918968200683594,0.0028646707534790037,0.00013302803039550782,0.00478959560394287,17150.47
51,0.0011297297477722169,0.0031925010681152343,0.0,0.004322230815887451,17405.54
52,0.0017978215217590331,0.002445826530456543,9.274482727050782e-07,0.0042445755004882815,17659.42
53,0.0014892053604125977,0.002908575534820557,2.8538703918457033e-06,0.0044006347656250005,17912.57
54,0.0009495353698730468,0.003372313976287842,0.0,0.004321849346160889,18165.25
55,0.0013125991821289062,0.0029765820503234864,0.0,0.004289181232452393,18416.77
56,0.001239345073699951,0.003224797248840332,1.9917488098144533e-05,0.004484059810638428,18667.79
57,0.0008640289306640625,0.003508925437927246,0.0,0.004372954368591309,18918.08
58,0.0015546059608459472,0.0031300663948059084,9.977817535400391e-06,0.004694650173187256,19167.3
59,0.0011094236373901368,0.0034911417961120605,2.6371479034423828e-05,0.004626936912536621,19416.05
60,0.0017898106575012208,0.003203837871551514,1.1277198791503906e-05,0.005004925727844238,19664.3
61,0.0026538252830505373,0.0038202595710754394,0.0,0.006474084854125976,19911.68
62,0.003171420097351074,0.005080211162567139,0.0,0.008251631259918213,20157.98
63,0.001553952693939209,0.0040313124656677244,8.01229476928711e-05,0.005665388107299805,20403.97
64,0.001437382698059082,0.0035442376136779787,0.0001803898811340332,0.005162010192871094,20649.87
65,0.00139939546585083,0.003965864181518555,7.78961181640625e-05,0.005443155765533447,20894.42
66,0.001536867618560791,0.00486459732055664,9.944438934326172e-06,0.006411409378051757,21138.65
67,0.0013669061660766602,0.004540882110595703,0.0,0.005907788276672364,21382.49
68,0.003032104969024658,0.0058496522903442386,4.0531158447265625e-06,0.008885810375213623,21625.08
69,0.002779526710510254,0.0066143798828125,0.00016875267028808593,0.009562659263610841,21867.67
70,0.005872421264648438,0.009186768531799316,3.08990478515625e-05,0.015090088844299316,22109.24
71,0.0036692357063293456,0.00697227954864502,0.0001207590103149414,0.010762274265289307,22350.56
72,0.0016175317764282227,0.004685976505279541,0.0,0.006303508281707764,22591.51
73,0.002672262191772461,0.0038694071769714354,0.0,0.0065416693687438965,22831.46
74,0.0028881263732910157,0.003971250057220459,5.53131103515625e-06,0.006864907741546631,23071.07
75,0.0019606590270996095,0.005030388832092285,9.946823120117187e-06,0.007000994682312012,23310.08
76,0.001582181453704834,0.006019513607025146,0.0,0.00760169506072998,23548.42
77,0.001917726993560791,0.005109210014343262,0.00032278299331665037,0.007349720001220703,23786.68
78,0.0023329806327819823,0.0045982575416564945,0.0001565694808959961,0.007087807655334473,24024.54
79,0.0014732789993286133,0.005538163185119629,0.0,0.007011442184448243,24261.39
80,0.002462589740753174,0.005175719261169434,0.0,0.007638309001922607,24497.65
81,0.001642765998840332,0.006037051677703857,9.946823120117187e-06,0.007689764499664306,24733.96
82,0.0018966150283813476,0.005394227504730224,0.0,0.007290842533111572,24969.85
